key,en,fr
welcome,Welcome,Bienvenue
map,Map,Carte
browse-items,Browse items,
add-item,Add item,
conversations,Conversations,
my-account,My account
log-in,Log in,
sign-up,Sign up,
useful-links,Useful links,
contact,Contact,
about-us,About us,
what-are-you-looking-for,What are you looking for?,
item-type,Type,
item-category,Category,
request,Request,
donation,Donation,
loan,Loan,
all,All,
category,Category,
food,Food,
animals,Animals,
aee,Arts and Entertainments,
collectors,Collectors,
hh,Helping hands,
diy,DIY,
beauty,Beauty and Well-being,
childhood,Childhood,
it,IT and Multimedia,
garden,Garden,
house,House,
holidays,Holidays and Week-end,
book,"Books, CDs and DVDs",
sport,Sport and Leisure,
transport,Transport and vehicle,
other,Other,
search...,Search...,
